institution,state,type,fa_policy,applicants_2013-14,applicants_2014-15,fa_2013-14,fa_2014-15,admitted_2013-14,admitted_2014-15,fa_average,percentage
Truman State University,MO,public 4yr,NB & NNB,334,351,1139211,1337528,241,273,4899,78
Tiffin University,OH,private 4yr,NB & NNB,111,189,N/A,1336797,N/A,189,7073,100
Niagara University,NY,private 4yr,NNB,455,287,1135350,1333230,101,114,11695,40
Newman University,KS,private 4yr,NB,71,72,1137051,1329826,69,76,17498,N/A
Seton Hill University,PA,private 4yr,NB & NNB,41,50,810305,1329034,N/A,50,26580,100
Goshen College,IN,private 4yr,NB & NNB,64,69,1341690,1328251,70,68,19533,99
Grand Valley State University,MI,public 4yr,NB & NNB,268,251,1432961,1303776,161,138,9448,55
Eckerd College,FL,private 4yr,NNB,84,79,978791,1294854,56,71,18237,90
Michigan Technological University,MI,public 4yr,NB & NNB,315,265,1493915,1289891,234,168,7678,63
Florida Gulf Coast University,FL,public 4yr,NB & NNB,206,213,1197990,1283169,102,120,10693,56
St. Mary's College of California,CA,private 4yr,NB & NNB,59,54,1281361,N/A,37,N/A,34631,63
Abilene Christian University,TX,private 4yr,NB & NNB,152,151,1073209,1277514,173,154,8296,N/A
Cardinal Stritch University,WI,private 4yr,NB & NNB,67,97,N/A,1274116,N/A,68,18737,70
Lycoming College,PA,private 4yr,NB,53,59,948240,1273912,N/A,57,22349,97
University of Maryland: Baltimore County,MD,public 4yr,NNB,466,509,1541521,1273789,N/A,70,18196,14
Bethune-Cookman University,FL,private 4yr,NB & NNB,59,80,1271940,N/A,86,N/A,15970,N/A
Oglethorpe University,GA,private 4yr,NB & NNB,47,51,1566931,1270980,N/A,51,24921,100
LIU Post,NY,private 4yr,NNB,453,397,N/A,1270130,N/A,149,8524,38
La Salle University,PA,private 4yr,NNB,76,77,915978,1268736,42,52,24399,68
"Indiana University-Purdue University
Indianapolis",IN,public 4yr,NNB,741,817,1324400,1263950,176,203,6226,25
St. Francis University,PA,private 4yr,NB & NNB,70,76,1380548,1263281,52,43,29379,57
University of Colorado Boulder,CO,public 4yr,NNB,960,1294,697391,1250478,62,81,15438,6
Centre College,KY,private 4yr,NB & NNB,54,78,N/A,1247180,N/A,76,16410,97
University of Maryland: Eastern Shore,MD,public 4yr,NNB,119,85,1554917,1246055,57,74,16839,87
Sacred Heart University,CT,private 4yr,NNB,39,51,393641,1243522,10,40,31088,78
Georgetown University,DC,private 4yr,NB,779,855,1235925,1235925,25,25,49437,3
Miami Dade College,FL,public 2yr,NB & NNB,3485,3225,1001236,1227895,710,879,1397,27
Wingate University,NC,private 4yr,NB & NNB,71,81,72500,1223750,4,58,21099,72
Otis College of Art and Design,CA,private 4yr,NB & NNB,190,237,738550,1216400,72,115,10577,49
George Fox University,OR,private 4yr,NB & NNB,152,139,1277000,1205000,N/A,126,9564,91
Saint Thomas University,FL,private 4yr,NB & NNB,193,163,1514098,1203570,158,142,8476,87
Whittier College,CA,private 4yr,NNB,58,64,1270458,1202989,58,48,25062,75
SUNY University at Stony Brook,NY,public 4yr,NNB,1596,1836,1207464,1197774,103,82,14607,4
Norwich University,VT,private 4yr,NB & NNB,31,35,1078965,1187564,N/A,N/A,22407,N/A
California Baptist University,CA,private 4yr,NNB,111,131,N/A,1173904,N/A,90,13043,69
Temple University,PA,public 4yr,NB & NNB,955,1350,1173049,N/A,158,N/A,7424,17
University of the Cumberlands,KY,private 4yr,NNB,95,109,1205145,1172650,95,87,13479,80
Northern Illinois University,IL,public 4yr,NB & NNB,216,245,1069848,1169457,78,84,13922,34
University of St. Thomas,TX,private 4yr,NB & NNB,136,158,892742,1166634,82,94,12411,59
Palm Beach Atlantic University,FL,private 4yr,NNB,88,97,N/A,1157655,N/A,N/A,11813,N/A
Morehead State University,KY,public 4yr,NNB,71,75,1156976,N/A,71,N/A,16295,100
Rider University,NJ,private 4yr,NB & NNB,114,115,N/A,1155867,N/A,51,22664,44
Kent State University,OH,public 4yr,NNB,1277,1342,1257606,1155792,81,89,12986,7
Saint Leo University,FL,private 4yr,NNB,280,293,1914318,1152701,141,168,6861,57
Syracuse University,NY,private 4yr,NNB,1379,1602,312000,1143984,25,93,12301,6
Saint Bonaventure University,NY,private 4yr,NB & NNB,36,30,1094084,1127110,42,41,27490,N/A
Siena College,NY,private 4yr,NB & NNB,47,55,1108556,1125000,44,45,25000,82
Houston Baptist University,TX,private 4yr,NB & NNB,78,82,1117220,N/A,65,N/A,17188,83
Oklahoma State University,OK,public 4yr,NB & NNB,576,655,961996,1116052,188,211,5289,32
University of Oregon,OR,public 4yr,NB & NNB,2542,2728,1359089,1115582,129,129,8648,5
University of California: Irvine,CA,public 4yr,NNB,2100,2875,N/A,1100000,323,432,23735,15
Webster University,MO,private 4yr,NB & NNB,53,104,N/A,1098912,N/A,89,12347,86
Rose-Hulman Institute of Technology,IN,private 4yr,NNB,200,237,986916,1084884,186,218,4977,92
Augustana College,IL,private 4yr,NB & NNB,41,56,724528,1082817,30,44,12118,79
California Institute of Technology,CA,private 4yr,NB,87,86,1082524,1080669,21,21,51460,24
Monmouth College,IL,private 4yr,NNB,25,44,488988,1079500,18,40,26987,91
Cleveland Institute of Music,OH,private 4yr,NB & NNB,44,42,925151,1069767,N/A,47,22761,N/A
Mount St. Mary's University,CA,private 4yr,NNB,18,13,980096,1062144,N/A,77,13794,N/A
College of Idaho,ID,private 4yr,NNB,87,81,1078820,1056282,87,78,13542,96
Oklahoma City University,OK,private 4yr,NB & NNB,315,232,1052524,N/A,73,N/A,14418,23
Jacksonville State University,AL,public 4yr,NNB,159,134,1466168,1042067,N/A,101,10317,75
Hollins University,VA,private 4yr,NB & NNB,28,34,712540,1036415,25,32,32388,94
San Francisco Conservatory of Music,CA,private 4yr,NB & NNB,44,48,847400,1032600,44,50,20652,N/A
